"","SURVEY_ITERATION","GW_BELIEF","GW_KNOWLEDGE","FRACKING_EFFECT_ENVIRONMENT","SCIENCE_TRUST","DEMOG_EDU","DEMOG_POLPARTY"
"1","FALL2015",1,"2","2","1",4,4
"2","FALL2015",1,"2","98","2",2,1
"3","FALL2015",2,"2","2","3",4,1
"4","FALL2015",1,"1","2","1",4,4
"5","FALL2015",1,"2","98","2",2,99
"6","FALL2015",1,"2","2","2",4,1
"7","FALL2015",1,"2","2","1",3,1
"8","FALL2015",1,"1","2","98",4,4
"9","FALL2015",1,"2","3","1",4,2
"10","FALL2015",2,"2","98","3",4,1
"11","FALL2015",1,"2","1","2",5,1
"12","FALL2015",1,"1","2","1",4,3
"13","FALL2015",1,"2","98","98",5,2
"14","FALL2015",2,"1","1","4",2,1
"15","FALL2015",1,"1","2","1",3,1
"16","FALL2015",1,"2","2","1",2,4
"17","FALL2015",98,"2","2","3",2,1
"18","FALL2015",1,"3","2","2",4,1
"19","FALL2015",1,"2","98","2",2,1
"20","FALL2015",1,"2","1","2",2,2
"21","FALL2015",2,"2","3","3",5,4
"22","FALL2015",98,"2","98","2",4,4
"23","FALL2015",1,"3","2","3",4,2
"24","FALL2015",2,"2","98","4",3,2
"25","FALL2015",98,"2","2","3",3,4
"26","FALL2015",1,"2","98","2",3,99
"27","FALL2015",1,"1","2","1",3,4
"28","FALL2015",1,"3","98","2",3,1
"29","FALL2015",2,"1","3","4",2,4
"30","FALL2015",98,"3","98","1",5,99
"31","FALL2015",1,"2","1","2",1,1
"32","FALL2015",1,"3","2","2",2,1
"33","FALL2015",1,"3","98","3",3,1
"34","FALL2015",1,"1","2","1",4,4
"35","FALL2015",1,"3","2","3",2,4
"36","FALL2015",1,"2","2","2",2,4
"37","FALL2015",2,"3","98","3",2,4
"38","FALL2015",2,"4","98","4",2,2
"39","FALL2015",1,"3","2","2",4,2
"40","FALL2015",1,"1","2","1",5,2
"41","FALL2015",1,"1","2","2",4,4
"42","FALL2015",1,"3","2","2",1,2
"43","FALL2015",98,"1","3","4",4,2
"44","FALL2015",1,"2","98","1",4,1
"45","FALL2015",1,"2","2","1",5,1
"46","FALL2015",2,"4","1","3",2,99
"47","FALL2015",98,"2","1","2",4,1
"48","FALL2015",98,"2","2","2",5,1
"49","FALL2015",1,"2","2","2",5,1
"50","FALL2015",1,"2","98","98",2,1
"51","FALL2015",1,"2","98","1",2,2
"52","FALL2015",1,"1","3","1",3,1
"53","FALL2015",1,"1","2","2",4,3
"54","FALL2015",1,"2","98","1",5,2
"55","FALL2015",1,"2","2","2",4,1
"56","FALL2015",1,"2","98","2",2,98
"57","FALL2015",1,"1","2","1",5,1
"58","FALL2015",1,"1","98","2",3,2
"59","FALL2015",2,"1","3","1",5,98
"60","FALL2015",2,"2","1","4",1,2
"61","FALL2015",1,"4","2","2",1,2
"62","FALL2015",1,"2","2","3",2,4
"63","FALL2015",1,"2","2","2",2,4
"64","FALL2015",1,"2","98","2",3,1
"65","FALL2015",1,"2","98","2",4,4
"66","FALL2015",1,"3","2","1",5,1
"67","FALL2015",1,"1","2","1",4,1
"68","FALL2015",1,"2","2","2",4,4
"69","FALL2015",98,"1","2","1",3,1
"70","FALL2015",2,"2","3","3",3,4
"71","FALL2015",1,"1","2","1",3,2
"72","FALL2015",1,"2","2","2",5,4
"73","FALL2015",1,"3","2","2",3,1
"74","FALL2015",2,"1","2","1",5,1
"75","FALL2015",1,"1","2","1",4,2
"76","FALL2015",98,"2","98","2",1,99
"77","FALL2015",1,"2","2","3",4,1
"78","FALL2015",2,"2","2","2",2,4
"79","FALL2015",1,"2","98","2",4,99
"80","FALL2015",2,"2","2","3",3,4
"81","FALL2015",2,"2","3","4",4,2
"82","FALL2015",98,"3","98","98",2,4
"83","FALL2015",1,"2","1","1",2,99
"84","FALL2015",98,"2","2","4",2,1
"85","FALL2015",1,"3","2","2",2,2
"86","FALL2015",1,"1","2","1",4,1
"87","FALL2015",1,"1","2","98",4,2
"88","FALL2015",1,"2","2","2",3,4
"89","FALL2015",2,"2","1","3",2,2
"90","FALL2015",1,"1","98","1",5,1
"91","FALL2015",1,"1","2","1",3,4
"92","FALL2015",1,"2","1","2",2,2
"93","FALL2015",2,"2","98","1",4,1
"94","FALL2015",2,"1","2","1",4,2
"95","FALL2015",1,"2","2","1",3,1
"96","FALL2015",1,"2","98","1",2,1
"97","FALL2015",1,"2","98","2",3,1
"98","FALL2015",1,"1","98","2",5,4
"99","FALL2015",1,"2","3","2",3,2
"100","FALL2015",2,"1","2","2",4,2
"101","FALL2015",1,"2","98","1",4,1
"102","FALL2015",1,"1","2","4",5,4
"103","FALL2015",98,"2","2","2",4,2
"104","FALL2015",1,"2","1","1",4,4
"105","FALL2015",1,"1","2","2",5,1
"106","FALL2015",98,"1","2","2",3,4
"107","FALL2015",2,"2","98","2",4,2
"108","FALL2015",2,"2","3","2",3,4
"109","FALL2015",1,"2","98","2",1,2
"110","FALL2015",1,"1","2","2",5,4
"111","FALL2015",1,"2","1","2",2,4
"112","FALL2015",1,"1","2","1",3,1
"113","FALL2015",1,"2","2","2",4,4
"114","FALL2015",1,"2","1","2",2,1
"115","FALL2015",1,"1","2","2",5,1
"116","FALL2015",1,"2","98","2",4,4
"117","FALL2015",1,"1","2","1",3,1
"118","FALL2015",2,"2","2","3",2,1
"119","FALL2015",98,"2","1","2",2,2
"120","FALL2015",2,"2","3","2",2,4
"121","FALL2015",1,"1","1","2",4,4
"122","FALL2015",1,"2","2","1",4,1
"123","FALL2015",98,"3","98","98",3,4
"124","FALL2015",1,"2","1","2",2,1
"125","FALL2015",1,"2","2","2",2,1
"126","FALL2015",1,"1","2","1",3,3
"127","FALL2015",1,"2","2","2",2,4
"128","FALL2015",1,"1","2","98",4,3
"129","FALL2015",1,"2","2","4",2,4
"130","FALL2015",1,"2","2","2",2,1
"131","FALL2015",1,"2","2","3",3,2
"132","FALL2015",1,"98","2","1",5,3
"133","FALL2015",1,"2","1","2",4,1
"134","FALL2015",1,"1","1","1",2,1
"135","FALL2015",1,"2","3","2",2,4
"136","FALL2015",1,"2","98","2",2,2
"137","FALL2015",2,"2","3","3",2,2
"138","FALL2015",2,"1","3","4",5,4
"139","FALL2015",1,"2","2","2",3,2
"140","FALL2015",1,"3","1","4",2,1
"141","FALL2015",1,"1","2","1",3,1
"142","FALL2015",1,"2","98","2",2,1
"143","FALL2015",2,"2","2","4",2,4
"144","FALL2015",1,"1","1","3",3,1
"145","FALL2015",1,"3","2","1",3,1
"146","FALL2015",2,"2","3","4",3,2
"147","FALL2015",98,"3","98","2",2,2
"148","FALL2015",1,"2","98","2",4,2
"149","FALL2015",1,"2","3","2",4,4
"150","FALL2015",98,"3","98","2",2,4
"151","FALL2015",1,"1","3","1",5,2
"152","FALL2015",98,"2","3","1",3,2
"153","FALL2015",1,"2","1","2",2,99
"154","FALL2015",2,"2","2","2",3,3
"155","FALL2015",1,"1","2","2",2,1
"156","FALL2015",2,"1","2","3",4,1
"157","FALL2015",1,"1","2","1",4,1
"158","FALL2015",1,"2","3","2",5,1
"159","FALL2015",1,"1","2","1",4,99
"160","FALL2015",1,"2","98","3",1,2
"161","FALL2015",1,"2","2","2",4,1
"162","FALL2015",98,"2","98","3",2,2
"163","FALL2015",1,"1","2","1",5,1
"164","FALL2015",1,"2","98","3",4,2
"165","FALL2015",98,"2","2","2",5,4
"166","FALL2015",2,"1","3","3",3,4
"167","FALL2015",1,"1","2","1",3,1
"168","FALL2015",1,"2","2","2",2,3
"169","FALL2015",1,"2","2","1",5,1
"170","FALL2015",1,"2","98","2",2,99
"171","FALL2015",1,"1","2","1",3,1
"172","FALL2015",1,"2","98","2",1,4
"173","FALL2015",98,"2","2","2",1,1
"174","FALL2015",1,"2","3","2",3,4
"175","FALL2015",2,"1","98","3",4,4
"176","FALL2015",1,"1","2","2",2,4
"177","FALL2015",2,"2","2","98",4,4
"178","FALL2015",1,"1","2","1",5,1
"179","FALL2015",1,"2","2","1",4,4
"180","FALL2015",2,"2","3","4",4,2
"181","FALL2015",1,"2","2","1",4,2
"182","FALL2015",1,"3","98","2",2,4
"183","FALL2015",98,"2","2","98",2,1
"184","FALL2015",1,"2","2","1",3,2
"185","FALL2015",98,"3","98","4",2,1
"186","FALL2015",1,"1","2","4",3,2
"187","FALL2015",1,"2","2","2",3,2
"188","FALL2015",2,"2","2","3",2,4
"189","FALL2015",98,"2","98","1",2,4
"190","FALL2015",1,"2","98","2",4,4
"191","FALL2015",2,"3","2","4",3,3
"192","FALL2015",2,"2","98","2",5,2
"193","FALL2015",1,"1","2","1",4,1
"194","FALL2015",1,"1","98","98",3,99
"195","FALL2015",2,"3","2","3",3,1
"196","FALL2015",1,"2","2","2",4,1
"197","FALL2015",1,"2","2","2",4,1
"198","FALL2015",1,"2","2","2",3,4
"199","FALL2015",1,"1","2","2",3,1
"200","FALL2015",2,"1","3","2",4,1
"201","FALL2015",1,"2","2","3",3,4
"202","FALL2015",2,"2","3","4",2,4
"203","FALL2015",1,"2","98","98",4,99
"204","FALL2015",98,"2","98","2",2,2
"205","FALL2015",1,"2","1","2",4,2
"206","FALL2015",2,"1","3","98",4,4
"207","FALL2015",1,"1","2","1",4,1
"208","FALL2015",1,"2","2","2",4,1
"209","FALL2015",1,"2","2","2",4,3
"210","FALL2015",1,"1","2","1",3,1
"211","FALL2015",1,"1","2","1",4,99
"212","FALL2015",1,"2","3","2",2,1
"213","FALL2015",1,"2","3","2",2,1
"214","FALL2015",98,"2","2","1",2,1
"215","FALL2015",1,"98","2","98",5,1
"216","FALL2015",1,"1","1","1",5,1
"217","FALL2015",1,"2","1","2",1,4
"218","FALL2015",1,"1","3","2",3,4
"219","FALL2015",1,"98","98","1",2,1
"220","FALL2015",2,"3","2","4",3,2
"221","FALL2015",98,"2","2","1",3,4
"222","FALL2015",1,"2","2","2",4,4
"223","FALL2015",1,"2","98","2",2,4
"224","FALL2015",1,"1","2","1",4,2
"225","FALL2015",2,"1","1","98",3,2
"226","FALL2015",1,"3","2","2",2,1
"227","FALL2015",1,"2","1","1",3,99
"228","FALL2015",1,"2","3","2",2,4
"229","FALL2015",2,"2","1","3",2,2
"230","FALL2015",1,"2","98","2",2,99
"231","FALL2015",2,"2","3","4",4,2
"232","FALL2015",1,"1","1","1",4,1
"233","FALL2015",1,"2","2","2",4,4
"234","FALL2015",1,"3","98","2",3,1
"235","FALL2015",1,"2","1","1",4,2
"236","FALL2015",1,"2","2","2",4,2
"237","FALL2015",1,"2","2","2",4,2
"238","FALL2015",1,"2","2","2",3,2
"239","FALL2015",2,"1","3","98",5,2
"240","FALL2015",2,"1","3","3",4,2
"241","FALL2015",1,"1","98","1",5,4
"242","FALL2015",1,"2","2","1",5,1
"243","FALL2015",2,"2","3","4",3,2
"244","FALL2015",2,"2","3","4",4,2
"245","FALL2015",1,"1","2","1",5,99
"246","FALL2015",98,"2","2","4",1,1
"247","FALL2015",1,"2","2","2",4,2
"248","FALL2015",1,"2","2","1",4,4
"249","FALL2015",1,"2","1","3",3,1
"250","FALL2015",1,"2","2","2",4,4
"251","FALL2015",1,"1","2","1",3,1
"252","FALL2015",1,"2","2","3",2,1
"253","FALL2015",1,"2","2","3",2,4
"254","FALL2015",1,"2","2","1",3,4
"255","FALL2015",1,"2","98","1",2,2
"256","FALL2015",98,"2","2","2",3,1
"257","FALL2015",1,"4","98","4",5,2
"258","FALL2015",1,"1","3","2",3,1
"259","FALL2015",1,"2","1","2",4,2
"260","FALL2015",1,"1","2","1",3,3
"261","FALL2015",1,"2","2","1",3,1
"262","FALL2015",98,"2","2","4",1,1
"263","FALL2015",1,"1","3","2",4,4
"264","FALL2015",1,"3","1","2",3,2
"265","FALL2015",1,"2","2","3",2,4
"266","FALL2015",1,"1","3","1",5,2
"267","FALL2015",1,"2","2","3",2,1
"268","FALL2015",2,"2","3","3",5,4
"269","FALL2015",1,"1","2","98",4,99
"270","FALL2015",1,"2","2","3",4,1
"271","FALL2015",1,"2","2","2",4,4
"272","FALL2015",1,"2","1","4",1,98
"273","FALL2015",1,"1","2","1",5,1
"274","FALL2015",1,"2","1","2",3,2
"275","FALL2015",1,"2","2","1",3,1
"276","FALL2015",98,"2","98","1",2,3
"277","FALL2015",2,"1","2","4",3,2
"278","FALL2015",1,"2","1","1",4,2
"279","FALL2015",1,"2","2","2",2,1
"280","FALL2015",1,"1","98","2",4,3
"281","FALL2015",1,"1","2","1",3,3
"282","FALL2015",1,"2","1","1",3,4
"283","FALL2015",1,"2","2","1",5,4
"284","FALL2015",1,"1","2","1",4,4
"285","FALL2015",2,"2","2","3",3,4
"286","FALL2015",1,"2","98","2",4,4
"287","FALL2015",1,"2","1","2",5,4
"288","FALL2015",98,"2","98","98",3,1
"289","FALL2015",1,"2","2","3",3,4
"290","FALL2015",98,"2","98","98",2,98
"291","FALL2015",2,"3","3","4",3,2
"292","FALL2015",98,"2","2","1",2,98
