RANK,TEAM,ACTIVE PLAYERS,FORWARDS,MIDFIELDERS,DEFENSEMEN,GOALKEEPERS,TRANSFER FEES,TOTALSALARY
1,Arsenal,25,31827273.00,34940000.00,38399000.00,6240000.00,173740000.00,111406273
20,Aston Villa,27,8760000.00,12759396.00,12116000.00,4457000.00,194257200.00,38092396
13,Bournemouth,6,5460000.00,2600000.00,4420000.00,0.00,0.00,12480000
17,Brighton,29,7020000.00,10660000.00,11516000.00,3486666.00,57940000.00,32682666
12,Burnley,25,10140000.00,18408000.00,12636000.00,4420000.00,14773000.00,45604000
2,Chelsea,29,25010000.00,48940000.00,31430000.00,9620000.00,51300000.00,115000000
14,Crystal Palace,25,25870000.00,18200000.00,26052000.00,5200000.00,6950000.00,75322000
3,Everton,25,22265000.00,28351000.00,24180000.00,5200000.00,133840000.00,79996000
15,Leicester City,28,15600000.00,25664000.00,20280000.00,8996000.00,113320000.00,70540000
4,Liverpool,25,27820000.00,46020000.00,29536000.00,5980000.00,9350000.00,109356000
5,Manchester City,25,29907000.00,76084000.00,32240000.00,7540000.00,167580000.00,145771000
6,Manchester Utd,28,30680000.00,48620000.00,46535000.00,24700000.00,179060000.00,150535000
7,Newcastle Utd,26,10348000.00,11441000.00,15496000.00,4576000.00,104200000.00,41861000
8,Norwich City,26,1144000.00,5564000.00,6302000.00,884000.00,1496000.00,13894000
18,Sheffield Utd,26,3692000.00,3692000.00,5096000.00,1820000.00,66980000.00,14300000
9,Southampton,22,11440000.00,18356000.00,16380000.00,4680000.00,62250000.00,50856000
10,Tottenham,25,17680000.00,37440000.00,24778000.00,6240000.00,132180000.00,86138000
16,Watford,22,12636000.00,14456000.00,12272000.00,3380000.00,0.00,42744000
11,West Ham,27,5980000.00,26520000.00,17940000.00,3380000.00,119460000.00,53820000
19,Wolves,26,14516000.00,17082000.00,6847000.00,5200000.00,132140000.00,43645000
